chr1	2671	4079	gene004	1368
chr1	4067	6611	gene003	1392
chr1	8993	11324	gene002	4650
chr1	16544	18032	gene005	1430
chr1	21465	24057	gene010	1019
chr1	23086	24977	gene023	667
chr1	27802	29800	gene031	1650
chr1	29045	30647	gene039	2050
chr1	31635	32810	gene035	681
chr1	40888	43790	gene012	4709
chr1	45870	48819	gene001	1400
chr1	59087	60658	gene027	90
chr1	60910	63446	gene028	458
chr1	69827	71538	gene017	2250
chr1	79593	81833	gene009	417
chr1	84874	86910	gene019	782
chr1	90520	92732	gene014	377
chr1	91680	93632	gene007	372
chr2	1330	3468	gene034	1460
chr2	3761	5449	gene029	374
chr2	14993	17364	gene006	1515
chr2	15866	18607	gene016	2414
chr2	25995	27807	gene013	567
chr2	32177	33837	gene026	1962
chr2	33862	36495	gene032	1254
chr2	42600	45342	gene030	755
chr2	48351	50921	gene008	1603
chr2	48571	50925	gene018	1185
chr2	55057	56082	gene020	1064
chr2	56822	58038	gene021	126
chr2	57091	59043	gene025	630
chr2	60258	62559	gene022	1872
chr2	70539	72800	gene024	1428
chr2	72768	74768	gene036	3446
chr2	75849	77070	gene011	1015
chr2	78139	79711	gene033	655
