chrS	500001	9
chrS	500002	10
chrS	500003	11
chrS	500004	11
chrS	500005	14
chrS	500006	14
chrS	500007	14
chrS	500008	16
chrS	500009	17
chrS	500010	16
chrS	500011	16
chrS	500012	17
chrS	500013	17
chrS	500014	17
chrS	500015	17
chrS	500016	19
chrS	500017	19
chrS	500018	20
chrS	500019	20
chrS	500020	21
chrS	500021	21
chrS	500022	21
chrS	500023	21
chrS	500024	22
chrS	500025	23
chrS	500026	23
chrS	500027	24
chrS	500028	24
chrS	500029	24
chrS	500030	26
chrS	500031	26
chrS	500032	27
chrS	500033	27
chrS	500034	28
chrS	500035	28
chrS	500036	30
chrS	500037	30
chrS	500038	31
chrS	500039	31
chrS	500040	31
chrS	500041	31
chrS	500042	32
chrS	500043	32
chrS	500044	32
chrS	500045	32
chrS	500046	33
chrS	500047	34
chrS	500048	34
chrS	500049	34
chrS	500050	34
chrS	500051	34
chrS	500052	35
chrS	500053	34
chrS	500054	34
chrS	500055	34
chrS	500056	35
chrS	500057	34
chrS	500058	34
chrS	500059	34
chrS	500060	35
chrS	500061	35
chrS	500062	35
chrS	500063	37
chrS	500064	37
chrS	500065	39
chrS	500066	39
chrS	500067	41
chrS	500068	41
chrS	500069	42
chrS	500070	42
chrS	500071	41
chrS	500072	41
chrS	500073	41
chrS	500074	41
chrS	500075	42
chrS	500076	42
chrS	500077	43
chrS	500078	43
chrS	500079	42
chrS	500080	43
chrS	500081	43
chrS	500082	42
chrS	500083	42
chrS	500084	42
chrS	500085	42
chrS	500086	42
chrS	500087	43
chrS	500088	43
chrS	500089	43
chrS	500090	44
chrS	500091	44
chrS	500092	44
chrS	500093	43
chrS	500094	43
chrS	500095	43
chrS	500096	42
chrS	500097	43
chrS	500098	43
chrS	500099	45
chrS	500100	45
chrS	500101	45
chrS	500102	45
chrS	500103	47
chrS	500104	48
chrS	500105	48
chrS	500106	48
chrS	500107	48
chrS	500108	48
chrS	500109	47
chrS	500110	48
chrS	500111	48
chrS	500112	48
chrS	500113	49
chrS	500114	50
chrS	500115	50
chrS	500116	51
chrS	500117	51
chrS	500118	51
chrS	500119	51
chrS	500120	53
chrS	500121	53
chrS	500122	53
chrS	500123	54
chrS	500124	53
chrS	500125	53
chrS	500126	53
chrS	500127	53
chrS	500128	53
chrS	500129	53
chrS	500130	52
chrS	500131	51
chrS	500132	50
chrS	500133	50
chrS	500134	50
chrS	500135	48
chrS	500136	48
chrS	500137	48
chrS	500138	46
chrS	500139	46
